State Name,State Code,City Code,City Name,County Code,County Name
NEW YORK,36,0730,BRUSHTON,033,FRANKLIN
NORTH CAROLINA,37,0730,CAMERON,125,MOORE
NORTH DAKOTA,38,0730,DAVENPORT,017,CASS
OHIO,39,0730,BERKEY,095,LUCAS
OKLAHOMA,40,0730,CALVIN,063,HUGHES
OREGON,41,0730,FRENCHGLEN,025,HARNEY
SOUTH DAKOTA,46,0730,DAVIS,125,TURNER
TENNESSEE,47,0730,EAGLEVILLE,149,RUTHERFORD
TEXAS,48,0730,BLUM,217,HILL
UTAH,49,0730,HOWELL,003,BOX ELDER
VERMONT,50,0730,WESTMINSTER,025,WINDHAM
VIRGINIA,51,0730,DAYTON,165,ROCKINGHAM
WASHINGTON,53,0730,FARMINGTON,075,WHITMAN
WEST VIRGINIA,54,0730,RAINELLE,025,GREENBRIER
WISCONSIN,55,0730,BRUCE,107,RUSK
