State Name,State Code,City Code,City Name,County Code,County Name
TENNESSEE,47,0770,ELKTON,055,GILES
TEXAS,48,0770,BOOKER,295,LIPSCOMB
TEXAS,48,0770,BOOKER,357,OCHILTREE
UTAH,49,0770,HYDE PARK,005,CACHE
VERMONT,50,0770,WILMINGTON,025,WINDHAM
VIRGINIA,51,0770,DRAKES BRANCH,037,CHARLOTTE
WASHINGTON,53,0770,FRIDAY HARBOR,055,SAN JUAN
WEST VIRGINIA,54,0770,ELBERT,047,MCDOWELL
WISCONSIN,55,0770,BUTTERNUT,003,ASHLAND
WYOMING,56,0770,SINCLAIR,007,CARBON
ALASKA,02,0769,EYAK (HISTORICAL),261,VALDEZ-CORDOVA
INDIANA,18,0769,CENTER,067,HOWARD
KENTUCKY,21,0769,CONWAY,203,ROCKCASTLE
LOUISIANA,22,0769,FOREST,123,WEST CARROLL
MONTANA,30,0769,MCCABE,085,ROOSEVELT
NEW YORK,36,0769,BUSTI,013,CHAUTAUQUA
WASHINGTON,53,0769,FOX ISLAND,053,PIERCE
MARYLAND,24,0768,HARWOOD,003,ANNE ARUNDEL
MONTANA,30,0768,LUTHER,009,CARBON
PENNSYLVANIA,42,0768,BOILING SPRINGS,041,CUMBERLAND
WASHINGTON,53,0768,FOUR LAKES,063,SPOKANE
ALASKA,02,0767,EXCURSION INLET,100,HAINES
INDIANA,18,0767,CEMENTVILLE,019,CLARK
KENTUCKY,21,0767,CONSTANTINE,027,BRECKINRIDGE
MARYLAND,24,0767,HAREWOOD PARK,005,BALTIMORE
MONTANA,30,0767,MALMSTROM AIR FORCE BASE,013,CASCADE
VERMONT,50,0767,WILLIAMSVILLE,025,WINDHAM
WASHINGTON,53,0767,FORT WORDEN,031,JEFFERSON
WEST VIRGINIA,54,0767,EGLON,077,PRESTON
KENTUCKY,21,0766,CONSTANCE,015,BOONE
LOUISIANA,22,0766,FORDOCHE,077,POINTE COUPEE
MARYLAND,24,0766,HARMANS,003,ANNE ARUNDEL
MONTANA,30,0766,LOTHAIR,051,LIBERTY
NEW MEXICO,35,0766,SOLANO,021,HARDING
NORTH DAKOTA,38,0766,DENHOFF,083,SHERIDAN
SOUTH DAKOTA,46,0766,DENBY,113,SHANNON
WASHINGTON,53,0766,FORT STEILACOOM,053,PIERCE
ALASKA,02,0765,EVANSVILLE,290,YUKON-KOYUKUK
CALIFORNIA,06,0765,COLEVILLE,051,MONO
CONNECTICUT,09,0765,TRUMBULL,001,FAIRFIELD
IDAHO,16,0765,HOWE,023,BUTTE
INDIANA,18,0765,CELESTINE,037,DUBOIS
LOUISIANA,22,0765,FORBING,017,CADDO
MARYLAND,24,0765,HANOVER,003,ANNE ARUNDEL
MASSACHUSETTS,25,0765,METHUEN,009,ESSEX
MICHIGAN,26,0765,CARROLLTON,145,SAGINAW
MISSOURI,29,0765,BLACK,179,REYNOLDS
MONTANA,30,0765,LORING,071,PHILLIPS
NEW YORK,36,0765,BUSKIRK,083,RENSSELAER
NORTH DAKOTA,38,0765,DENBIGH,049,MCHENRY
PENNSYLVANIA,42,0765,BOALSBURG,027,CENTRE
SOUTH CAROLINA,45,0765,EFFINGHAM,041,FLORENCE
SOUTH DAKOTA,46,0765,DEMPSTER,057,HAMLIN
TEXAS,48,0765,BON WIER,351,NEWTON
VERMONT,50,0765,WILLISTON,007,CHITTENDEN
WASHINGTON,53,0765,FORT COLUMBIA,049,PACIFIC
WEST VIRGINIA,54,0765,EDMOND,019,FAYETTE
WISCONSIN,55,0765,BUTTE DES MORTS,139,WINNEBAGO
CALIFORNIA,06,0764,PINE GROVE,033,LAKE
MONTANA,30,0764,LONEPINE,089,SANDERS
VERMONT,50,0764,WILLIAMSTOWN,017,ORANGE
ALASKA,02,0763,EUREKA,290,YUKON-KOYUKUK
CALIFORNIA,06,0763,COARSEGOLD,039,MADERA
KENTUCKY,21,0763,CONFLUENCE,131,LESLIE
MISSOURI,29,0763,BIXBY,093,IRON
MONTANA,30,0763,LOMA,015,CHOUTEAU
NEW YORK,36,0763,BURT,063,NIAGARA
OREGON,41,0763,GATES,047,MARION
SOUTH CAROLINA,45,0763,EDISTO ISLAND,019,CHARLESTON
VIRGINIA,51,0763,DOSWELL,085,HANOVER
WASHINGTON,53,0763,JOINT BASE LEWIS-MCCHORD,053,PIERCE
WEST VIRGINIA,54,0763,DELORME,059,MINGO
KENTUCKY,21,0762,CONLEY,153,MAGOFFIN
MICHIGAN,26,0762,CARP LAKE,047,EMMET
MONTANA,30,0762,LOLO,063,MISSOULA
NEW YORK,36,0762,BURLINGTON FLATS,077,OTSEGO
NORTH DAKOTA,38,0762,DE LAMERE,081,SARGENT
WASHINGTON,53,0762,FORT LAWTON,033,KING
KENTUCKY,21,0761,CONCORD,135,LEWIS
MONTANA,30,0761,LOGAN,031,GALLATIN
NEW YORK,36,0761,BURLINGHAM,105,SULLIVAN
ALABAMA,01,0760,COLUMBIA,069,HOUSTON
ALASKA,02,0760,ESTER,090,FAIRBANKS NORTH STAR
ARKANSAS,05,0760,CHERRY VALLEY,037,CROSS
CALIFORNIA,06,0760,COALINGA,019,FRESNO
COLORADO,08,0760,ESTES PARK,069,LARIMER
CONNECTICUT,09,0760,WEST TORRINGTON,005,LITCHFIELD
FLORIDA,12,0760,DANIA BEACH,011,BROWARD
GEORGIA,13,0760,BRUNSWICK,127,GLYNN
IDAHO,16,0760,HORSESHOE BEND,015,BOISE
ILLINOIS,17,0760,BENTON,055,FRANKLIN
INDIANA,18,0760,CEDAR LAKE,089,LAKE
IOWA,19,0760,BERKLEY,015,BOONE
KANSAS,20,0760,CALDWELL,191,SUMNER
LOUISIANA,22,0760,FOLSOM,103,ST. TAMMANY
MARYLAND,24,0760,HANCOCK,043,WASHINGTON
MASSACHUSETTS,25,0760,BRADFORD,009,ESSEX
MICHIGAN,26,0760,CARO,157,TUSCOLA
MINNESOTA,27,0760,BRAHAM,059,ISANTI
MISSISSIPPI,28,0760,EBENEZER,051,HOLMES
MISSOURI,29,0760,BISMARCK,187,ST. FRANCOIS
MONTANA,30,0760,LODGE GRASS,003,BIG HORN
NEBRASKA,31,0760,BRUNO,023,BUTLER
NEW JERSEY,34,0760,DUMONT,003,BERGEN
NEW MEXICO,35,0760,SOCORRO,053,SOCORRO
NEW YORK,36,0760,BURDETT,097,SCHUYLER
NORTH CAROLINA,37,0760,CAROLEEN,161,RUTHERFORD
NORTH DAKOTA,38,0760,DEERING,049,MCHENRY
OHIO,39,0760,BETHESDA,013,BELMONT
OKLAHOMA,40,0760,CANADIAN,121,PITTSBURG
OREGON,41,0760,GASTON,067,WASHINGTON
PENNSYLVANIA,42,0760,BOBTOWN,059,GREENE
SOUTH CAROLINA,45,0760,EDGEMOOR,023,CHESTER
SOUTH DAKOTA,46,0760,DELMONT,043,DOUGLAS
TENNESSEE,47,0760,ELIZABETHTON,019,CARTER
TEXAS,48,0760,BONHAM,147,FANNIN
UTAH,49,0760,HURRICANE,053,WASHINGTON
VERMONT,50,0760,WILDER,027,WINDSOR
WASHINGTON,53,0760,FORKS,009,CLALLAM
WEST VIRGINIA,54,0760,ECKMAN,047,MCDOWELL
WISCONSIN,55,0760,BUTLER,133,WAUKESHA
WYOMING,56,0760,SHOSHONI,013,FREMONT
MONTANA,30,0759,LUSTRE,105,VALLEY
VIRGINIA,51,0759,DORAN,185,TAZEWELL
MICHIGAN,26,0758,CARNEY,109,MENOMINEE
MONTANA,30,0758,LOCATE,017,CUSTER
PENNSYLVANIA,42,0758,BLYTHEDALE,003,ALLEGHENY
TEXAS,48,0758,BOMARTON,023,BAYLOR
VIRGINIA,51,0758,DOLPHIN,025,BRUNSWICK
LOUISIANA,22,0757,FLUKER,105,TANGIPAHOA
PENNSYLVANIA,42,0757,BLUE RIDGE SUMMIT,055,FRANKLIN
TENNESSEE,47,0757,ELGIN,151,SCOTT
TEXAS,48,0757,BOLING,481,WHARTON
VIRGINIA,51,0757,DOGUE,099,KING GEORGE
WASHINGTON,53,0757,FORD,065,STEVENS
ARKANSAS,05,0756,CHATFIELD,035,CRITTENDEN
CONNECTICUT,09,0756,TOLLAND,013,TOLLAND
KENTUCKY,21,0756,COMBS,193,PERRY
LOUISIANA,22,0756,FLORA,069,NATCHITOCHES
NORTH CAROLINA,37,0756,CAPE FEAR,129,NEW HANOVER
TENNESSEE,47,0756,ELBRIDGE,131,OBION
VIRGINIA,51,0756,DISPUTANTA,149,PRINCE GEORGE
ARKANSAS,05,0755,CHEROKEE VILLAGE,135,SHARP
ILLINOIS,17,0755,BENTLEY,067,HANCOCK
LOUISIANA,22,0755,FLORIEN,085,SABINE
MONTANA,30,0755,LLOYD,005,BLAINE
NEW YORK,36,0755,BULLVILLE,071,ORANGE
TENNESSEE,47,0755,EDENWOLD,037,DAVIDSON
VERMONT,50,0755,WHITINGHAM,025,WINDHAM
WISCONSIN,55,0755,BURNETT,027,DODGE
WYOMING,56,0755,SHIRLEY BASIN,007,CARBON
LOUISIANA,22,0754,FLATWOODS,079,RAPIDES
TENNESSEE,47,0754,EATON,053,GIBSON
VERMONT,50,0754,WHITING,001,ADDISON
VIRGINIA,51,0754,DOE HILL,091,HIGHLAND
ARKANSAS,05,0753,CHARLOTTE,063,INDEPENDENCE
LOUISIANA,22,0753,FISHER,085,SABINE
NORTH CAROLINA,37,0753,CAPE CARTERET,031,CARTERET
PENNSYLVANIA,42,0753,BLUE BELL,091,MONTGOMERY
TENNESSEE,47,0753,EIDSON,073,HAWKINS
VIRGINIA,51,0753,DINWIDDIE,053,DINWIDDIE
MICHIGAN,26,0752,CARLSHEND,103,MARQUETTE
MONTANA,30,0752,LOZEAU,061,MINERAL
PENNSYLVANIA,42,0752,BLUE BALL,071,LANCASTER
TENNESSEE,47,0752,EASTVIEW,109,MCNAIRY
LOUISIANA,22,0751,FIELDS,011,BEAUREGARD
ALABAMA,01,0750,COLLINSVILLE,049,DEKALB
ARKANSAS,05,0750,CHARLESTON,047,FRANKLIN
CALIFORNIA,06,0750,COACHELLA,065,RIVERSIDE
COLORADO,08,0750,ERIE,123,WELD
FLORIDA,12,0750,DADE CITY,101,PASCO
GEORGIA,13,0750,BROXTON,069,COFFEE
IDAHO,16,0750,HOPE,017,BONNER
ILLINOIS,17,0750,BENSON,203,WOODFORD
INDIANA,18,0750,CEDAR GROVE,047,FRANKLIN
IOWA,19,0750,BENTON,159,RINGGOLD
KANSAS,20,0750,BYERS,151,PRATT
KENTUCKY,21,0750,COLUMBUS,105,HICKMAN
LOUISIANA,22,0750,FERRIDAY,029,CONCORDIA
MARYLAND,24,0750,HAMPSTEAD,013,CARROLL
MICHIGAN,26,0750,CARLETON,115,MONROE
MINNESOTA,27,0750,BOY RIVER,021,CASS
MISSOURI,29,0750,BIRMINGHAM,047,CLAY
MONTANA,30,0750,LIVINGSTON,067,PARK
NEBRASKA,31,0750,BRUNING,169,THAYER
NEW JERSEY,34,0750,DOVER,027,MORRIS
NEW MEXICO,35,0750,SILVER CITY,017,GRANT
NEW YORK,36,0750,BUFFALO,029,ERIE
NORTH CAROLINA,37,0750,CANTON,087,HAYWOOD
NORTH DAKOTA,38,0750,DAZEY,003,BARNES
OHIO,39,0750,BETHEL,025,CLERMONT
OKLAHOMA,40,0750,CAMERON,079,LE FLORE
OREGON,41,0750,GARIBALDI,057,TILLAMOOK
PENNSYLVANIA,42,0750,BLOSSBURG,117,TIOGA
SOUTH CAROLINA,45,0750,EDGEFIELD,037,EDGEFIELD
SOUTH DAKOTA,46,0750,DELL RAPIDS,099,MINNEHAHA
TENNESSEE,47,0750,EAST RIDGE,065,HAMILTON
TEXAS,48,0750,BOGATA,387,RED RIVER
UTAH,49,0750,HUNTSVILLE,057,WEBER
VERMONT,50,0750,WHITE RIVER JUNCTION,027,WINDSOR
VIRGINIA,51,0750,DILLWYN,029,BUCKINGHAM
WASHINGTON,53,0750,FIRCREST,053,PIERCE
WEST VIRGINIA,54,0750,ECCLES,081,RALEIGH
WISCONSIN,55,0750,BURLINGTON,101,RACINE
WYOMING,56,0750,SHERIDAN,033,SHERIDAN
CONNECTICUT,09,0749,THOMPSON,015,WINDHAM
MICHIGAN,26,0749,CARLAND,155,SHIAWASSEE
NEW JERSEY,34,0749,DOROTHY,001,ATLANTIC
NEW MEXICO,35,0749,SENA,047,SAN MIGUEL
MONTANA,30,0748,LINDSAY,021,DAWSON
NEW JERSEY,34,0748,DORCHESTER,011,CUMBERLAND
NEW MEXICO,35,0748,SEDAN,059,UNION
LOUISIANA,22,0747,FENTON,053,JEFFERSON DAVIS
MONTANA,30,0747,LINCOLN,049,LEWIS AND CLARK
NEW JERSEY,34,0747,DEPTFORD,015,GLOUCESTER
NEW MEXICO,35,0747,SEBOYETA,006,CIBOLA
OHIO,39,0747,BETHANY,017,BUTLER
VERMONT,50,0747,WHEELOCK,005,CALEDONIA
VIRGINIA,51,0747,DIGGS,115,MATHEWS
WASHINGTON,53,0747,FIFE,053,PIERCE
WYOMING,56,0747,SHELL,003,BIG HORN
MASSACHUSETTS,25,0746,MENEMSHA,007,DUKES
NEW JERSEY,34,0746,DIVIDING CREEK,011,CUMBERLAND
NEW MEXICO,35,0746,SENECA,059,UNION
VERMONT,50,0746,WEYBRIDGE,001,ADDISON
WYOMING,56,0746,SHAWNEE,009,CONVERSE
ALABAMA,01,0745,COLDWATER,015,CALHOUN
ARKANSAS,05,0745,CENTRAL CITY,131,SEBASTIAN
COLORADO,08,0745,ENT AIR FORCE BASE,041,EL PASO
LOUISIANA,22,0745,FELIXVILLE,037,EAST FELICIANA
MASSACHUSETTS,25,0745,TOWN OF UXBRIDGE,027,WORCESTER
